property_type,location,price,features,neighourhood,bedroom,bathroom,toilet,parking_lot
A Lovely Good 3 Bedrooms Flat With Car Park.,Surulere,1500000,3 Bedrooms3 Bathrooms3 Toilets2 Parking Spaces Save, Ogunlana,3,3,3,2
Newly Built 3 Bedroom Flat All Round Tiles,Ipaja,250000,3 Bedrooms3 Bathrooms3 Toilets3 Parking Spaces Save, Ipaja,3,3,3,3
Spacious Brand New 3 Bedroom Flat,Ajah,1400000,3 Bedrooms4 Bathrooms4 Toilets10 Parking Spaces Save, Ajah,3,4,4,10
Tastefully Finished 3 Bedroom Flat,Victoria Island (VI),4000000,3 Bedrooms3 Bathrooms4 Toilets Save, Oniru,3,3,4,
3 Bedroom Apartment With 24hrs Power,Victoria Island (VI),3000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Oniru,3,3,4,2
2 Bedroom Flat All Room Ensuit With A Guest Toilet,Magodo,1300000,2 Bedrooms3 Bathrooms3 Toilets6 Parking Spaces Save, GRA,2,3,3,6
A Lovely And Nice Well Finished Room Self Contained,Yaba,600000,1 Bathroom1 Toilet1 Parking Space650 sqm Total Area Save, Abule Oja,1,1,,1
Lovely Built 3 Bedroom Flat In A Serene And Secured Environment,Lekki,2650000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Ologolo,3,3,4,2
3 Bedroom Flat All Room Ensuit With A Guest Toilet,Magodo,1600000,3 Bedrooms4 Bathrooms4 Toilets5 Parking Spaces Save, Magodo,3,4,4,5
Luxury Mini Flat,Ajah,650000,1 Bedroom1 Bathroom2 Toilets8 Parking Spaces Save, Sangotedo,1,1,2,8
Luxury 3 Bedroom Flat With Bq,Victoria Island (VI),5000000,3 Bedrooms4 Bathrooms4 Toilets2 Parking Spaces Save, Oniru,3,4,4,2
"3 Bedroom Flat, All Ensuite,",Ogudu,1900000,3 Bedrooms3 Bathrooms4 Toilets Save, GRA,3,3,4,
Room Self Contain,Ikeja,220000,1 Bedroom1 Bathroom1 Toilet Save, Ikeja,1,1,1,
A Lovely And Nice Newly Built Serviced Mini Flat,Surulere,650000,1 Bedroom1 Bathroom2 Toilets1 Parking Space Save, Bode Thomas,1,1,2,1
Lovely 2 Bedroom Flat In A Secured And Gated Neighbourhood,Lekki,1800000,2 Bedrooms2 Bathrooms3 Toilets Save, Lekki,2,2,3,
Luxurious Newly Built 3 Bedroom Flat,Ajah,1200000,3 Bedrooms3 Bathrooms4 Toilets6 Parking Spaces Save, Ajiwe,3,3,4,6
Available Self Contained Apartment,Ikeja,800000,1 Bedroom1 Bathroom1 Toilet4 Parking Spaces Save, Ikeja,1,1,1,4
2 Bedrooms Flat,Ajah,1000000,2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save, Ajah,2,2,3,2
Two-bedroom Flats,IbejuLekki,650000,2 Bedrooms2 Bathrooms1 Toilet5 Parking Spaces Save, Ibeju Lekki,2,2,1,5
Brand New Stylishly Built 3 Bedroom Luxurious Apartment + Bq,Lekki,5000000,3 Bedrooms4 Bathrooms4 Toilets3 Parking Spaces Save, Admiralty Road,3,4,4,3
Sevice Clean 3 Bedroom Flat.,Ajah,1300000,3 Bedrooms4 Bathrooms4 Toilets10 Parking Spaces Save, Sangotedo,3,4,4,10
2 Bedroom Service Apartment,Lekki,1500000,2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save, Igbo Efon,2,2,3,2
A Room Self Contained In A Shared Apartment,Ajah,180000,1 Bathroom1 Toilet2 Parking Spaces Save, Badore,1,1,1,2
Nice And Standard Newly Built Self Contained,Lekki,700000,1 Bedroom Save, Lekki,1, ,,
Nice And Standard Newly Built Self Contained,Lekki,900000,1 Bedroom Save, Lekki,1, ,,
Lovely 3 Bedroom Flat,Gbagada,1650000,3 Bedrooms Save, Soluyi,3, ,,
Newly Built 3 Bedroom Flat,Lekki,2300000,3 Bedrooms3 Bathrooms4 Toilets Save, Lekki Phase 2,3,3,4,
Luxury 2 Bedroom Apartments With Breathtaking Views,Victoria Island (VI),61000,2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save, Lagos,2,2,3,2
Luxury 3 Bedrooms Apartment,Victoria Island (VI),82000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Lagos,3,3,4,2
Luxury 1 Bedroom Apartments With Breathtaking Views.,Victoria Island (VI),36000,1 Bedroom1 Bathroom2 Toilets2 Parking Spaces Save, Lagos,1,1,2,2
Tastefully Finished 3 Bedroom Luxury Apartments With 2 Maids Room,Ikoyi,9000000,3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save, Ikoyi,3,3,4,3
3 Bedroom Luxury Apartments Ideal For A Coporate Tenant,Ikoyi,9000000,3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save, Ikoyi,3,3,4,3
Tastefully Finished 3 Bedrooms Luxury Apartments With Maids Room,Ikoyi,11000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Ikoyi,3,3,4,2
2 Bedrooms Apartment,Ikoyi,15000000,2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save, Ikoyi,2,2,3,2
4 Bedroom Apartments,Ikoyi,18000000,4 Bedrooms4 Bathrooms5 Toilets2 Parking Spaces Save, Ikoyi,4,4,5,2
Luxury 4 Bedroom Apartments With Excellent Facilities,Ikoyi,60000,4 Bedrooms4 Bathrooms5 Toilets4 Parking Spaces Save, Lagos,4,4,5,4
4 Bedrooms Luxury Apartment Ideal For A Coporate Tenant.,Ikoyi,10000000,4 Bedrooms4 Bathrooms5 Toilets4 Parking Spaces Save, Ikoyi,4,4,5,4
3 Bedrooms Apartment With Ample Parking Space,Lekki,7000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Lekki,3,3,4,2
3 Bedrooms Serviced Apartment With Maid's Room,Ikoyi,8000000,3 Bedrooms4 Bathrooms3 Toilets2 Parking Spaces Save, Ikoyi,3,4,3,2
"Spacious 3 Bedroom Flat, Ground Floor With Necessary Facilities",Agege,600000,3 Bedrooms3 Bathrooms3 Toilets3 Parking Spaces Save, New Oko Oba,3,3,3,3
Luxurious 3 Bedrooms Flat,Ikoyi,8000000,3 Bedrooms4 Bathrooms4 Toilets2 Parking Spaces Save, Osborne,3,4,4,2
Luxury Finished Serviced (12units) Of 2bedroom Flat All Rms En Suite,Ajah,650000,2 Bedrooms2 Bathrooms2 Toilets3 Parking Spaces Save, Sangotedo,2,2,2,3
16 Units Of 3 Bedroom Flat,Lekki,3500000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Lekki,3,3,4,2
3 Bedroom Flat All Room Ensuit With A Guest Toilet,Magodo,1500000,3 Bedrooms3 Bathrooms3 Toilets3 Parking Spaces Save, Phase 1,3,3,3,3
Mini Flat,Ikeja,700000,1 Bedroom2 Bathrooms2 Toilets5 Parking Spaces Save, Omole Phase 2,1,2,2,5
3 Bedroom Apartment With Maid Room,Ikoyi,11000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Ikoyi,3,3,4,2
A Room Self Contain,Lekki,1000000,1 Bedroom1 Bathroom1 Toilet1 Parking Space Save, Lekki,1,1,1,1
A Room Self Contain,Lekki,900000,1 Bathroom1 Toilet4 Parking Spaces600 sqm Total Area Save, Lekki,1,1,1,4
Brand New 20 Units Of Luxury 3 Bedroom Flats,Ikeja,8000000,3 Bedrooms Save, Ikeja,3, ,,
3 Bedroom Flat,Lekki,1800000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Lafiaji,3,3,4,2
Nice And Standard Self Contained.,Lekki,1000000,1 Bedroom Save, Lekki Expressway,1, ,,
"Sweet Juicy 2 Bedrooms Flat, Upstairs",Ajah,950000,2 Bedrooms2 Bathrooms3 Toilets9 Parking Spaces Save, Before Sangotedo,2,2,3,9
Tasteful And Spacious 3 Bedroom Flat,Ajah,800000,3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save, Ajah,3,3,4,3
"A Newly Spacious 2 Bedrooms Flat With Pop, Tiles, Wardrobe, Kitchen",Ikeja,800000,2 Bedrooms2 Bathrooms2 Toilets2 Parking Spaces Save, Ogba,2,2,2,2
Executive Mini Flat,Ikeja,850000,1 Bedroom2 Bathrooms2 Toilets4 Parking Spaces Save, Ikeja,1,2,2,4
Three Bedrooms Flat,Ikorodu,350000,3 Bedrooms Save, Offin Oreta,3, ,,
Super 2 Bedrooms,Surulere,600000,2 Bedrooms1 Bathroom1 Toilet1 Parking Space Save, Off Ishaga Road,2,1,1,1
"Luxurious 2 Bedrooms Flat, Upstairs",Lekki,1300000,2 Bedrooms2 Bathrooms3 Toilets5 Parking Spaces Save, Lekki Phase 1,2,2,3,5
New Mini Flat,Ajah,600000,1 Bedroom1 Bathroom2 Toilets Save, Sangotedo,1,1,2,
"2 Bedrooms, Very Spacious And Luxurious",Lekki,2200000,2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save, Off Kusenla Way,2,2,3,2
Newly Blult 3 Bedroom Flat In Quite And Serene Environment,Ikeja,4000000,3 Bedrooms3 Bathrooms4 Toilets30 Parking Spaces Save, Ikeja,3,3,4,30
Relatively New 6 Nos. 3 Bedrooms Flat,Ikeja,2000000,3 Bedrooms3 Bathrooms4 Toilets15 Parking Spaces Save, Ikeja,3,3,4,15
Corporate Furnished Mini Flats,Ikeja,3000000,1 Bedroom1 Bathroom1 Toilet1 Parking Space Save, Ikeja GRA,1,1,1,1
Furnished 2 Bedroom Maisonette Flat,Victoria Island (VI),3500000,2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save, Victoria Island (VI),2,2,3,2
3 Bedrooms Flat,Magodo,1700000,3 Bedrooms4 Bathrooms3 Toilets8 Parking Spaces Save, Beside Firstbank,3,4,3,8
Luxury Mini Apartments,Lekki,1000000,1 Bedroom1 Bathroom1 Toilet1 Parking Space Save, VGC,1,1,1,1
3 Bedroom Luxurious Flat,Ikeja,5000000,3 Bedrooms4 Bathrooms4 Toilets Save, Ikeja GRA,3,4,4,
16units Tastefully Finished Apartments For Corporate Clients.,Maryland,1800000,3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save, Anthony,3,3,4,3
4 (nos) 4 Bedrooms Flat Ideal For A Coporate Tenant,Ikoyi,8000000,4 Bedrooms4 Bathrooms5 Toilets4 Parking Spaces Save, Ikoyi,4,4,5,4
8 (nos) 3 Bedroom Flats Ideal For A Coporate Tenant,Ikoyi,7000000,3 Bedrooms4 Bathrooms4 Toilets4 Parking Spaces Save, Ikoyi,3,4,4,4
3 Bedroom Luxury Apartments With Excellent Facillities,Ikoyi,15000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Ikoyi,3,3,4,2
3 Bedroom Apartments With Views Of The Lagoon And Major Landmarks.,Victoria Island (VI),15000000,3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save, Lagos,3,3,4,3
Tastefully Finished 3 Bedroom Luxury Apartments With 2 Maids Room,Ikoyi,14000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Ikoyi,3,3,4,2
3 Bedrooms Flat With Maids Room,Eko Atlantic City,35000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Lagos,3,3,4,2
Luxury 1 Bedroom Apartment With Breathtaking Views,Victoria Island (VI),36000,1 Bedroom1 Bathroom2 Toilets1 Parking Space Save, Lagos,1,1,2,1
Brand New 2 Bedrooms Flat,Ajah,1000000,2 Bedrooms3 Bathrooms3 Toilets Save, Before Shoprite,2,3,3,
Standard Mini Flat (room And Parlour),Epe,200000,1 Bedroom2 Bathrooms2 Toilets2 Parking Spaces Save, Lagos,1,2,2,2
3 Bedrooms Luxury Apartment,Ikoyi,14000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Ikoyi,3,3,4,2
A Room Self Contained,Lekki,1100000,1 Bathroom1 Toilet4 Parking Spaces600 sqm Total Area Save, Lekki Expressway,1,1,4,4
A Mini Flat,Lekki,1400000,1 Bedroom1 Bathroom1 Toilet2 Parking Spaces Save, Lekki Expressway,1,1,1,2
New Mini Flat,Ikorodu,150000,1 Bedroom1 Toilet Save, Lagos,1,1,,
Nice And Standard Self Contained.,Lekki,600000,1 Bedroom Save, Lekki Expressway,1, ,,
Nice And Standard Self Contained.,Lekki,700000,1 Bedroom Save, Lekki Expressway,1, ,,
Nice And Standard Self Contained.,Lekki,950000,1 Bedroom Save, Lekki Expressway,1, ,,
Nice And Standard Mini Flat.,Lekki,1500000,1 Bedroom Save, Lekki Expressway,1, ,,
Fully Furnished And Serviced 1 Bedroom Apartment,Ikoyi,5500000,1 Bedroom1 Bathroom2 Toilets2 Parking Spaces Save, Lagos,1,1,2,2
Standard Mini-flat,Ogudu,800000,1 Bedroom1 Bathroom1 Toilet Save, GRA,1,1,1,
Furnished 1 Bedroom Apartment ( Mini Flat),Lekki,2000000,1 Bedroom1 Bathroom2 Toilets5 Parking Spaces Save, Lekki Phase 1,1,1,2,5
A Room Self Contained,Lekki,350000,1 Bathroom1 Toilet12 Parking Spaces600 sqm Total Area Save, Lekki Expressway,1,1,1,1
Luxurious Room And Parlour Self Contained,IbejuLekki,350000,1 Bedroom1 Bathroom2 Toilets6 Parking Spaces Save, Awoyaya,1,1,2,6
Serviced 3 Bedroom Flats Code Commlag,Victoria Island (VI),4000000,3 Bedrooms Save, Oniru,3, ,,
Nice 3 Bedroom Flat.,Ikorodu,350000,3 Bedrooms4 Toilets Save, Lagos,3,4,,
Well Finished 2 Bedroom Flat,Lekki,1500000,2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save, Lekki,2,2,3,2
A Very Decent And Good Room Self Contained.,Surulere,250000,1 Bedroom1 Bathroom1 Toilet650 sqm Total Area Save, Kilo,1,1,1,
1 Bedroom Mini Flat.,Ikoyi,1000000,1 Bedroom1 Bathroom1 Toilet Save, Ikoyi,1,1,1,
3 Bedroom Flat,Ikoyi,14000000,3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save, Ikoyi,3,3,4,3
A 2 Bedroom Flat Ground Floor,Surulere,1000000,2 Bedrooms2 Bathrooms2 Toilets2 Parking Spaces Save, Adelabu,2,2,2,2
A Room Self Contained,Lekki,650000,1 Bathroom1 Toilet4 Parking Spaces600 sqm Total Area Save, Lekki Expressway,1,1,1,4
Lovely Built 2 Bedroom Ensuite,Isheri North,650000,2 Bedrooms3 Bathrooms3 Toilets6 Parking Spaces Save, Vera Dureke Drive,2,3,3,6
Brand New Spacious And Well Finished 3 Bedroom Flat,Ajah,2000000,3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save, Ajah,3,3,4,3
A Room Self Contained,Lekki,1200000,1 Bedroom1 Bathroom1 Toilet4 Parking Spaces Save, Lekki Expressway,1,1,1,4
A Room Self Contained,Lekki,1250000,1 Bathroom1 Toilet6 Parking Spaces600 sqm Total Area Save, Lekki Expressway,1,1,1,6
4 Bedroom Flat,Surulere,800000,4 Bedrooms4 Bathrooms4 Toilets2 Parking Spaces Save, Ijesha,4,4,4,2
A Lovely And Nice Newly Built 2 Bedroom Flat With Pop,Yaba,1000000,2 Bedrooms2 Bathrooms3 Toilets1 Parking Space Save, Costain,2,2,3,1
A Very Lovely & Fully Serviced Mini Flat,Yaba,1500000,1 Bedroom1 Bathroom1 Toilet1 Parking Space Save, Alagomeji,1,1,1,1
A Luxury Fully Serviced 3 Bedroom Flat With A Furnished Bq,Yaba,2700000,"3 Bedrooms3 Bathrooms4 Toilets1,500 sqm Total Area Save", Sabo,3,3,4,
Renovated 3 Bedroom Flat 2 Tenants In Compound,Ayobo,300000,3 Bedrooms3 Bathrooms3 Toilets7 Parking Spaces Save, Ayobo,3,3,3,7
A Decent Mini Flat,Gbagada,600000,1 Bedroom2 Bathrooms2 Toilets4 Parking Spaces Save, Gbagada,1,2,2,4
Room And Parlour Self Contained,Ikorodu,160000,1 Bedroom1 Bathroom1 Toilet3 Parking Spaces Save, Isawo,1,1,1,3
Nicely Furnished 3 Bedroom Apartment,Victoria Island (VI),4500000,3 Bedrooms2 Bathrooms3 Toilets1 Parking Space Save, Victoria Island (VI),3,2,3,1
Lovely 2 Bedroom Flat,Ikorodu,300000,2 Bedrooms3 Toilets Save, Ikorodu,2,3,  ,
Spacious 4 Bedroom Flat,Ajah,3000000,4 Bedrooms5 Bathrooms5 Toilets10 Parking Spaces Save, Sangotedo,4,5,5,10
Upscale Luxury 3 Bedroom Apartment With State-of-the-art Facilities,Ikoyi,90000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Banana Island,3,3,4,2
Very Spacious Miniflat,Lekki,1200000,1 Bedroom1 Bathroom1 Toilet Save, Lekki,1,1,1,
Newly Built 2 Bedrooms,IbejuLekki,400000,2 Bedrooms3 Bathrooms3 Toilets3 Parking Spaces Save, After Eleko Junction,2,3,3,3
Luxury 3 Bedroom Apartment,Victoria Island (VI),4600000,3 Bedrooms1 Bathroom2 Toilets1 Parking Space Save, Victoria Island (VI),3,1,2,1
Newly Built 3 Bedroom Flat All Tiles Floor Fenced Gate Water,Ado-Odo/Ota,250000,3 Bedrooms3 Bathrooms3 Toilets5 Parking Spaces Save, Ado-Odo/Ota,3,3,3,5
A Room Self Contain,Lekki,1000000,1 Bedroom1 Bathroom1 Toilet7 Parking Spaces Save, Before Chevron,1,1,1,7
A Room Self Contained,Lekki,900000,1 Bedroom1 Bathroom1 Toilet7 Parking Spaces Save, Lekki,1,1,1,7
Nice And Standard Renovated Mini Flat,Lekki,1200000,1 Bedroom Save, Agungi,1, ,,
Nice And Standard Mini Flat,Lekki,1000000,1 Bedroom Save, Agungi,1, ,,
Nice And Standard Self Contained With Kitchen,Lekki,900000,1 Bedroom Save, Agungi,1, ,,
Luxury 2 Bedroom Flat,Ajah,1000000,2 Bedrooms2 Bathrooms3 Toilets5 Parking Spaces Save, Olokonla,2,2,3,5
Luxury 3 Bedroom Flat With Excellent Facilities,Ajah,1000000,3 Bedrooms3 Bathrooms4 Toilets Save, Ajah,3,3,4,
A Lovely And Nice Newly Built 2 Bedrooms Flat,Yaba,2000000,2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save, Sabo,2,2,3,2
Well Renovated 3 Bedroom Apartment,Victoria Island (VI),3500000,3 Bedrooms2 Bathrooms3 Toilets1 Parking Space Save, Victoria Island (VI),3,2,3,1
"3 Bedrooms Flat, All Rooms Ensuite With A Guest Toilet",Isheri,1400000,3 Bedrooms4 Bathrooms4 Toilets6 Parking Spaces Save, Olowora,3,4,4,6
Luxury 12 Units Of 3 Bedrooms Apartment,Ikoyi,15000000,3 Bedrooms3 Bathrooms4 Toilets Save, Ikoyi,3,3,4,
Clean 3 Bedrooms Flat,Ajah,2000000,3 Bedrooms4 Bathrooms4 Toilets Save, Sangotedo,3,4,4,
3 Bedroom Luxury Apartment,Ikoyi,9000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Banana Island,3,3,4,2
Luxury High-rise 3 Bedroom Flats,Ikoyi,9000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Old Ikoyi,3,3,4,2
Clean 4 Bedrooms Terraced Duplex,Ajah,2500000,4 Bedrooms5 Bathrooms5 Toilets4 Parking Spaces Save, Sangotedo,4,5,5,4
2 Bedrooms Flat All Room Ensuit With A Guest Toilet And Bath,Magodo,1200000,2 Bedrooms3 Bathrooms3 Toilets6 Parking Spaces Save, Magodo Gra Phase 1,2,3,3,6
Luxury 3 Bedroom Apartment With State-of-the-art Facilities,Ikoyi,65000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Old Ikoyi,3,3,4,2
Luxury 2 Bedroom Apartment With State-of-the-art Facilities,Ikoyi,45000,2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save, Old Ikoyi,2,2,3,2
3 Bedrooms Flat All Rooms Ensuite With A Guest Toilet And Bath,Magodo,1300000,3 Bedrooms4 Bathrooms3 Toilets6 Parking Spaces Save, Magodo,3,4,3,6
Spacious 3 Bedroom Apartment In A Block Of Flats,Lekki,2000000,3 Bedrooms3 Bathrooms3 Toilets2 Parking Spaces Save, Lafiaji,3,3,3,2
4 Bedroom Apartments With Ample Parking Space,Lekki,7000000,4 Bedrooms4 Bathrooms5 Toilets4 Parking Spaces Save, Lekki,4,4,5,4
Brand New 2 Bedrooms Flat,Ikeja,1300000,2 Bedrooms2 Bathrooms3 Toilets Save, Ikeja,2,2,3,
3 Bedrooms Apartment,Oshodi,700000,3 Bedrooms1 Bathroom1 Toilet4 Parking Spaces Save, Mafoluku,3,1,1,4
Nice And Standard Self Contained With Kitchen.,Lekki,450000,1 Bedroom Save, Lekki,1, ,,
6 Units Of Luxury 3 Bedroom Flats With Swimming Pool.,Victoria Island (VI),3500000,3 Bedrooms Save, Victoria Island (VI),3, ,,
Luxury 4 Bedroom Pent-floor Apartment With Excellent Facilities,Ikoyi,10000000,4 Bedrooms4 Bathrooms5 Toilets2 Parking Spaces Save, Old Ikoyi,4,4,5,2
Furnished One Bedroom Apartment,Victoria Island (VI),1600000,1 Bedroom2 Bathrooms2 Toilets2 Parking Spaces Save, Victoria Island (VI),1,2,2,2
Luxury Furnished Mini Flat,Victoria Island (VI),3500000,1 Bedroom1 Bathroom1 Toilet1 Parking Space Save, Victoria Island (VI),1,1,1,1
Tasteful 3 Bedroom Flat,Ajah,1000000,3 Bedrooms4 Bathrooms4 Toilets3 Parking Spaces Save, Badore,3,4,4,3
2 Bedroom Flat.,Ikorodu,250000,2 Bedrooms2 Bathrooms2 Toilets4 Parking Spaces Save, Igbogbo,2,2,2,4
Block Of Mini Flat.,Ikorodu,150000,1 Bedroom1 Bathroom1 Toilet4 Parking Spaces Save, Igbogbo,1,1,1,4
One Room Self Contained,Lekki,800000,1 Bedroom1 Bathroom1 Toilet Save, Lekki,1,1,1,
Brand New 2 Bedroom Flat.,Ajah,1500000,2 Bedrooms3 Bathrooms3 Toilets15 Parking Spaces Save, Ajah,2,3,3,15
Serviced 5 Bedroom Duplex With 24hrs Light Plus Bq.,IbejuLekki,2500000,5 Bedrooms6 Bathrooms6 Toilets10 Parking Spaces Save, Bogije,5,6,6,10
Luxury 3 Bedroom Flat.,Ajah,1400000,3 Bedrooms3 Bathrooms4 Toilets8 Parking Spaces Save, Sangotedo,3,3,4,8
Spacious Clean 3 Bedroom Flat With Just Tenants.,Ajah,1300000,3 Bedrooms4 Bathrooms4 Toilets4 Parking Spaces Save, Sangotedo,3,4,4,4
Multiple Units Of Luxury Serviced 3 Bedroom Flats,Lekki,5000000,3 Bedrooms3 Bathrooms4 Toilets4 Parking Spaces Save, Lekki Phase 1,3,3,4,4
Spacious 3 Bedroom Flat,Lekki,2000000,3 Bedrooms3 Bathrooms4 Toilets Save, Ikate Elegushi,3,3,4,
Nice And Standard 2 Bedroom Flat.,Lekki,1500000,2 Bedrooms Save, Agungi,2, ,,
Luxury Furnished 3 Bedroom Flat,Ikoyi,7000000,3 Bedrooms3 Bathrooms4 Toilets Save, Ikoyi,3,3,4,
New Room Self Contained With Toilet And Kitchen,Lekki,500000,1 Bedroom1 Bathroom1 Toilet Save, Lekki,1,1,1,
Well Finished 2 Bedroom Apartment,Victoria Island (VI),3000000,2 Bedrooms1 Bathroom2 Toilets1 Parking Space Save, Victoria Island (VI),2,1,2,1
3 Bedrooms Flat,Ogudu,2000000,3 Bedrooms2 Bathrooms2 Toilets2 Parking Spaces Save, GRA,3,2,2,2
Waterfront 3 Bedroom Flat With A Bq,Ikoyi,7500000,3 Bedrooms2 Bathrooms3 Toilets Save, Ikoyi,3,2,3,
A Room Self Contained,Lekki,400000,1 Bedroom1 Bathroom1 Toilet Save, Lekki,1,1,1,
Extremely Clean Room And Parlour Self Contained,Ikorodu,170000,1 Bedroom1 Bathroom1 Toilet4 Parking Spaces Save, Igbogbo,1,1,1,4
A Room Self Contained,Lekki,600000,1 Bedroom1 Bathroom1 Toilet Save, Lekki,1,1,1,
Elegantly Finished And Fully Fitted Luxury 3-bedroom Maisonette,Victoria Island (VI),12000000,3 Bedrooms4 Bathrooms4 Toilets Save, Lagos,3,4,4,
Very Clean 3 Bedroom Flat,Magodo,1800000,3 Bedrooms3 Bathrooms4 Toilets Save, GRA,3,3,4,
Expatriate Luxury 3 Bedroom Masionette With Bq,Victoria Island (VI),12000000,3 Bedrooms3 Bathrooms4 Toilets Save, Victoria Island (VI),3,3,4,
3 Bedroom Flat,Ikorodu,350000,3 Bedrooms Save, Erunwen,3, ,,
Luxury 3 Bedroom Flat With Excellent Facilities,Alimosho,800000,3 Bedrooms3 Bathrooms4 Toilets8 Parking Spaces Save, Boy's Town,3,3,4,8
Master Bedroom In A Shared Apartment Duplex,Lekki,1100000,1 Bedroom1 Bathroom1 Toilet5 Parking Spaces Save, Ikate Elegushi,1,1,1,5
Neatly Used 4 Bedroom Terrace Duplex On 2 Floors + 1 Room Bq,Victoria Island (VI),5500000,4 Bedrooms4 Bathrooms5 Toilets Save, Oniru,4,4,5,
Serviced Room Self Contained+additional Room,Ikeja,1300000,1 Bedroom1 Bathroom2 Toilets Save, Ikeja,1,1,2,
Luxury 4 Units Of 3 Bedroom Flat,Shomolu,10800000,12 Bedrooms12 Bathrooms16 Toilets Save, Palmgrove,12, ,12,16
A Lovely And Nice Newly Built 2 Bedroom Flat,Surulere,2200000,2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save, Bode Thomas,2,2,3,2
Very Spacious Self Contained Available. 70% Serviced,Yaba,400000,1 Bedroom1 Bathroom1 Toilet Save, Yaba,1,1,1,
Luxury Styled Apartment,Victoria Island (VI),12000000,3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save, Victoria Island (VI),3,3,4,3
14 Units Of 3 Bedroom Flats With 1 Room Bq,Ikoyi,7000000,3 Bedrooms3 Bathrooms4 Toilets Save, Ikoyi,3,3,4,
Luxury Sea Side 2 Bedroom Flat Pent House,Ikoyi,18000000,2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save, Ikoyi,2,2,3,2
Luxury Sea Side 4 Bedroom Flat With A Bq,Ikoyi,21000000,4 Bedrooms4 Bathrooms5 Toilets2 Parking Spaces Save, Ikoyi,4,4,5,2
One Bedroom Flat,Ikorodu,200000,1 Bedroom Save, Benson,1, ,,
3 Bedroom Flat,Ikorodu,320000,3 Bedrooms Save, Benson,3, ,,
4 Nos Of 3 Bedroom Flat,Ikeja,2700000,3 Bedrooms3 Bathrooms4 Toilets Save, Ikeja,3,3,4,
Miniflat With Fitted Inverter,Lekki,950000,1 Bedroom1 Bathroom1 Toilet Save, Lekki,1,1,1,
Fully Furnished And Serviced 3 Bedrooms Apartment,Ikoyi,10000000,3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save, Lagos,3,3,4,3
3 Bedroom Apartments With Excellent Facilities,Ikoyi,8000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Ikoyi,3,3,4,2
Superb Sharp 2 Bedrooms Flat,Ajah,850000,2 Bedrooms2 Bathrooms3 Toilets20 Parking Spaces Save, Ajah,2,2,3,20
2 Bedroom Flat,Lekki,1800000,2 Bedrooms2 Bathrooms3 Toilets Save, Lekki,2,2,3,
Luxury And Well Maintained 3 Bedrooms Apartment,Lekki,3000000,3 Bedrooms4 Toilets Save, Lekki,3,4,  ,
3 Units Of 3 Bedrooms Flats With Boys Quarters For Corporate Tenants,Lekki,2500000,3 Bedrooms3 Bathrooms4 Toilets8 Parking Spaces Save, Funke Zainab Usman Street,3,3,4,8
Nice And Standard,Lekki,350000,1 Bedroom Save, Lekki,1, ,,
